site_id (provided geohash), actual geohash, lat, lon
gcptd2wb3usu, gcpt8c3qdvjw, 51.599807, -0.668324
gcw8zr1zfs6m, gcw8zq9kw9qx, 53.605822, -1.788767
u134zhmszms7, u134zhmb4s5y, 52.538017, 1.721876
gcpg5fzejgut, gcpg5fzentbx, 51.167997, -0.176188
u10jkgx2d8bb, u10jkgxewqsk, 51.567714, 0.219314
gcpf01zw315z, gcpf04xx09ev, 50.991506, -0.341236
gcw9rd9zvx35, gcw9rdfb96et, 53.672433, -1.77595
gcxcc89ryqzs, gcxcc88jyq7g, 53.748885, -0.285371
gcmzz7w4h45s, gcmzz7qq9q7c, 53.412557, -2.836817
gcrjm6k72705, gcrjm6hsmuz0, 52.965843, -1.169101
gcpzdzqrqg87, gcpzdzqrqy0f, 51.984462, -0.221839
gcwhpc1dp75v, gcwhpc1bstcy, 54.146236, -2.469325
gfjnb42rvh2h, gfjnb4dk0t03, 57.45097, -4.215638
gcpuzwnzzntc, gcpuzwr2efeg, 51.494393, -0.01185
gcque1przppb, gcque0195kgz, 52.822464, -1.623772
gcwhcybcun7t, gcwhcyb57jm0, 54.310126, -2.73546
gcr6pmhw4t2f, gcr6prtcj0cq, 52.424188, -0.727971
gcr6pkcmq83h, gcr6pkc7kd20, 52.409475, -0.734174
gcvp7dkr1zg4, gcvpmdzbcc57, 56.133405, -3.966328
gcwfn7hu6muk, gcwfn7nk8f8b, 53.806328, -1.474538
gcuu3cdb1d8j, gcuu3fh686h6, 55.602247, -4.487555
gcrr6dhm731z, gcrr6dhqjsd4, 53.317705, -0.938749
gbvq418zqdtq, gbvq418zqdtu, 50.282936, -3.77798
gcnx9191cngd, gcnx3pb808w3, 51.941989, -2.064713
gcxf01h0xcx6, gcxf00u9ncf5, 53.793364, -0.34509
gcmrpcmwq7mq, gcmrpcmxj5jw, 53.269804, -3.518836
gcmrpcmdnrtw, gcmrpcjqqsmd, 53.268308, -3.519115
gcrj3bfkdkef, gcrj3bfkdkkx, 52.959018, -1.326153
gcx54rnecpyr, gcx54rjusjww, 54.004099, -1.299296
gcvxrcdnz23q, gcvxrcdq9x3f, 56.127559, -3.171892
gcvz27j95nyz, gcvz27n7xvzu, 56.135276, -3.14415
gcw2s48n7cqc, gcw2s48nebqc, 53.540241, -2.284986
gcwgq8fbkvsy, gcwgq8fbkvsg, 54.012982, -1.468181
gcqr4ju8ewf2, gcqr4jubbhws, 53.293458, -2.366515
gcmzemw2233v, gcmzemw0v97k, 53.379958, -3.01276
gctgx8tktj4m, gctgxb9j5g2p, 54.056358, -2.821952
gcrj9sp3jnvp, gcrj9sp92k14, 53.020256, -1.33002
gcvjj6ncqbd1, gcvjjd61ebze, 55.735278, -3.974133
gchbh9m1sw9s, gchbh9m19c0h, 50.63213, -4.365617
gcwf7f8hu9jf, gcwf7fbkw1yw, 53.848897, -1.592408
gcqe694vrcdh, gcqe694vngqq, 52.608909, -1.995437
gcjsyfpugnng, gcjsz40w4f6k, 51.47199, -3.2072
gcr5w15dhjgc, gcr5w1j6zczm, 52.65246, -1.135026
gcr5j6ntnjjx, gcr5j6nvenkp, 52.570559, -1.166133
gcr5jpqpnvus, gcr5jppwe3nv, 52.598168, -1.176075
gcw0qs19d3hz, gcw0qeb6wf14, 53.502485, -2.526221
gcpvrc3nvsw5, gcpvrc3nyed6, 51.555896, -0.009331
gctqxsd48wg4, gctqxs66z932, 54.603903, -3.534184
gcrwdd9z58h3, gcrwdd93b1yc, 53.187871, -0.591536
gcrwem559ch4, gcrwem55t9k7, 53.201902, -0.555941
gcuvdmcsgvek, gcuvdmgg70j5, 55.842691, -4.46615
gcmzftenc3qk, gcmzfsy1c3e9, 53.419956, -3.045901
gcw9zwwusucu, gcw9zwx60kxs, 53.781191, -1.769808
gcwc99g23zwt, gcwc99fd9hz4, 53.71124, -1.688409
gcvtbj1w8ebu, gcvtbj5x3wjr, 55.883236, -3.510747
gckyvzjw0x0m, gckyvzjvcsut, 53.257239, -4.30966
gcjsyr35yye5, gcjsyrhkm31m, 51.499149, -3.234903
gcjuj3z38vs2, gcjuj3z38vkx, 51.338025, -2.923355
gcp16tvbuzty, gcp17j4203yr, 50.872203, -1.271305
gcuy24wtu0pv, gcuy24wqh4sm, 55.95716, -4.561552
gcw297revwt8, gcw297rgbymx, 53.543922, -2.395323
gcrhgn6yp1yj, gcrhgnhk9urh, 52.899966, -1.268493
gcndpgxrk44b, gcndpgr31bgq, 50.994592, -1.758763
gcnhxjvcxv6f, gcnhxjy18jzd, 51.44789, -2.496633
gcpkdc8c3cgj, gcpkdc8ccd56, 51.424567, -0.932739
u134x85vnx6d, u134x8r3r1dt, 52.4723, 1.7461
gcwcm450bjvd, gcwcm44bz6ze, 53.668357, -1.533988
gcnbudwmztgt, gcnbudwmztu1, 50.771587, -1.551148
gcpz732eez23, gcpz71x2sg49, 51.907756, -0.209563
gcqqzx6mtzdy, gcqqzxdnvuwv, 53.260156, -2.128345
gcqvjg25165p, gcqvjervnbg7, 52.928872, -1.505176
gcpmpgxnz5z1, gcpmpgxnxcz4, 51.524258, -0.704156
gcpe15ym7uy1, gcpe15yk7qks, 51.173707, -0.650451
gcrjqmm9y6x8, gcrjqmm9tgju, 52.983215, -1.123784
gcrncstj60ep, gcrncssvr85b, 53.243394, -1.333482
gcnhpmnt70n3, gcnhpmnt5pyz, 51.356492, -2.484832
gbvmc68ykq1v, gbvmc68vgqc5, 50.244249, -3.811085
gcrjq2ep2vz2, gcrjq3nx72zk, 52.960844, -1.122516
gcqxbbm1srxm, gcqxbbm17v1g, 53.39517, -2.069386
gcnz9pycjp1v, gcnz9pw2e6w7, 51.984658, -1.705136
gcptpt1xrhkj, gcptpt1w5phf, 51.53244, -0.37134
gcqdq732ds3r, gcqdq732ds6h, 52.44472, -1.83289
gcjw7zyu1tsc, gcjwkpddus1v, 51.765326, -3.336215
gcp55xs107mz, gcp5hp9nzky1, 51.194727, -1.228776
gcwcv0tudyfy, gcwcv0twgj8n, 53.749053, -1.530404
gcqe08fmbzfe, gcqe08fmbzen, 52.563742, -2.084276
gcw8bnf5rcm8, gcw8bncu56nh, 53.607113, -2.106824
gcw9nkk8pjj6, gcw9nkk8phvx, 53.636654, -1.828229
u10ujfxzftxr, u10ujfxzftxp, 51.343219, 1.318133
gcqdz7pnnj2t, gcqdz7r92q8c, 52.532751, -1.78046
gcnn81ne804n, gcjyxbzs0hft, 51.772411, -2.813183
gcjyxcp15zxx, gcjyxbz7t0rt, 51.772301, -2.813305
gfn4xyjnmsm4, gfn4xyjndbt6, 56.723531, -2.464932
gcqmy34u7mnf, gcqmy3jt8dfu, 53.048445, -2.178701
gcmzc32unt2z, gcmzc32unt3q, 53.401137, -3.10782
gcvbhrqyzvy3, gcvbhrrnsp4r, 54.88473, -2.967507
gcw9dv9w0csq, gcw9dv9w0css, 53.732423, -1.986427
gcjqm4wf64vh, gcjqm4mt3tmx, 51.736923, -3.639836
u12e99g0pjz4, u12e99g0pjww, 52.656128, 0.773472
gcr3m8rsmk3h, gcr3mbz61e1w, 52.255457, -0.791979
gcr3m8rsmk3h, gcr3mbtsm39p, 52.254462, -0.794222
gcrj9u50wzyk, gcrj9u50vfgj, 53.020164, -1.324975
gcx5n625x4vx, gcx5n625x4vw, 53.97782, -1.131284
gcndrx6th0tr, gcndrry4s03s, 51.063511, -1.782358
gcz00bgke3dv, gcxpbvv5nh9d, 54.83193, -1.366165
gcrmvtbj7b5h, gcrmvmz7vz0k, 53.07426, -0.813771
gcvjrfcshtc4, gcvm20ve8t4j, 55.77135, -3.85961
gcjv6z64x2dt, gcjv6z5fx74b, 51.586749, -3.037748
gbvrsryvcb81, gbvrsryq738k, 50.580763, -3.671697
gcw08h6sdhmn, gcw08hd6q5md, 53.550514, -2.809145
gcpz9cun3653, gcpz9cgyrc7t, 51.954053, -0.269171
gcwvpnbg6ksd, gcwvpjw1h22f, 54.346792, -1.441772
gcqek60j851m, gcqek60kurtt, 52.614382, -1.922074
u12gs9ppj79f, u12gs9ruqc3m, 52.654088, 1.263376
gcqfy9ym7v8s, gcqfy9yqt1ud, 52.525387, -1.463364
gcn73bvnk77k, gcn73bvk3sqh, 51.201162, -2.376751
gctwgm8wwn1z, gctwgm80rpey, 54.65432, -3.372497
gcpvdkrccs1n, gcpvdkrdtk23, 51.615595, -0.24216
gcmr5tphcb9q, gcmr5tphcbd4, 53.290003, -3.703688
gcpuykmnqk3b, gcpuykmnmg0n, 51.484397, -0.069791
gcqdd59f012j, gcqddh4btybz, 52.492799, -2.01746
gcdy9dgsrd7p, gcdy9dgeyrz6, 54.59587, -7.31181
gctbwpm66n3j, gctbwpm4x89w, 53.565649, -2.8932
gcmudvpt2fnv, gcmuehfyhbyv, 52.849393, -3.028237
gcphzkj7phv7, gcphzkje0pcv, 51.482491, -1.080091
gcqmxb8rzt3b, gcqmxb83snd3, 53.001086, -2.119843
gcmytvuxwr8n, gcmytvw9zs2x, 53.204365, -2.902128
gcx8b7tp4u1n, gcx8b7tp4u1t, 53.589786, -0.685152
gcw29epgeeuv, gcw29g06pbqp, 53.542216, -2.383349
gcqzxu99c8q3, gcqzxu92v6q7, 53.37447, -1.415286
gcnjhuugeu8y, gcnjhuvk13hx, 51.530692, -2.59649
gcw0e1fdv0dz, gcw0e1f4n3mr, 53.535355, -2.677642
gchqpdf5ktcy, gchqpddj8qbr, 51.694402, -4.94109
gcq7zucnpxwk, gcq7zuckdzdn, 52.717336, -2.118524
gcjv0vdh6dwz, gcjv0vbknurg, 51.536202, -3.13046
gbuj1fyucymq, gbuj1fed3uyn, 50.111802, -5.543206
gfj8csk45kv4, gfj8csu0e2sn, 56.408018, -3.444069
gfnxnbvrxz2q, gfnxnbyzqzjp, 57.485872, -1.803178
gfnxnth4uuex, gfnxnth5g3s7, 57.508587, -1.818092
gcw2u382yrv1, gcw2u383phmm, 53.577771, -2.273519
gcphru6kc4df, gcphru6jpwgr, 51.396312, -1.062601
